Source_Code,Source_Material
HAM_8880__HAM__ACC,Waste
HAM_8880__HAM__ACO,Waste
HAM_8880__HAM__C01,Waste
HAM_8880__HAM__C02,Waste
HAM_8880__HAM__C03,Waste
HAM_8880__HAM__C04,Waste
HAM_8880__HAM__C05,Waste
HAM_8880__HAM__C06,Waste
HAM_8880__HAM__C07,Waste
HAM_8880__HAM__C08,Waste
HAM_8880__HAM__C09,Waste
HAM_8880__HAM__C10,Waste
HAM_8880__HAM__C11,Waste
HAM_8880__HAM__DBC,Waste
HAM_8880__HAM__DEC,Waste
HAM_8880__HAM__EWA,Waste
HAM_8880__HAM__FAA,Waste
HAM_8880__HAM__ODN,Ore
HAM_8880__HAM__ODS,Ore
HAM_8880__HAM__PMP,Waste
HAM_8880__HAM__RAA,Waste
HAM_8880__HAM__RAD,Waste
HAM_8880__HAM__RAU,Waste
HAM_8880__HAM__RCC,Waste
HAM_8880__HAM__SM1,Waste
HAM_8880__HAM__SMP,Waste
HAM_8880__HAM__SPA,Ore
HAM_8880__HAM__SPD,Waste
HAM_8880__HAM__SPN,Ore
HAM_8880__HAM__SPS,Ore
HAM_8880__HAM__ST1,Waste Fresh
HAM_8880__HAM__ST2,Waste Fresh
HAM_8880__HAM__ST3,Waste Fresh
HAM_8880__HAM__ST4,Waste Fresh
HAM_8880__HAM__ST5,Waste Fresh
HAM_8880__HAM__ST6,Waste Fresh
HAM_8880__HAM__ST7,Waste Fresh
HAM_8880__HAM__ST8,Waste Fresh
HAM_8880__HAM__ST9,Waste Fresh
HAM_8880__HAM__STR,Waste Fresh
HAM_8880__HAM_28S,Ore
HAM_8880__HAM_31S,Ore
HAM_8880__HAM_35S,Ore
HAM_8880__HAM_38S,Ore
HAM_8880__HAM_42S,Ore
HAM_8880__HAM_48S,Ore
HAM_8880__HAM_52S,Ore
HAM_8880__HAM_56S,Ore
HAM_8880__HAM_60S,Ore
HAM_8880__HAM_67S,Ore
HAM_8880_TAG_01,Unknown
HAM_8905_______ST1,Waste Fresh
HAM_8905_______ST2,Waste Fresh
HAM_8905_______ST3,Waste Fresh
HAM_8905__HAM__28S,Ore
HAM_8905__HAM__32S,Ore
HAM_8905__HAM__35S,Ore
HAM_8905__HAM__39S,Ore
HAM_8905__HAM__43S,Ore
HAM_8905__HAM__51S,Ore
HAM_8905__HAM__54S,Ore
HAM_8905__HAM__56S,Ore
HAM_8905__HAM__61S,Ore
HAM_8905__HAM__65S,Ore
HAM_8905__HAM__ACC,Waste
HAM_8905__HAM__ACO,Waste
HAM_8905__HAM__C01,Waste
HAM_8905__HAM__C02,Waste
HAM_8905__HAM__C03,Waste
HAM_8905__HAM__C04,Waste
HAM_8905__HAM__C05,Waste
HAM_8905__HAM__C06,Waste
HAM_8905__HAM__C07,Waste
HAM_8905__HAM__DEC,Waste
HAM_8905__HAM__JBC,Waste
HAM_8905__HAM__ODN,Ore
HAM_8905__HAM__ODS,Ore
HAM_8905__HAM__PFC,Waste
HAM_8905__HAM__RAU,Waste
HAM_8905__HAM__SM1,Waste
HAM_8905__HAM__SM2,Waste
HAM_8905__HAM__SM3,Waste
HAM_8905__HAM__SMP,Waste
HAM_8905__HAM__SP1,Ore
HAM_8905__HAM__SPA,Ore
HAM_8905__HAM__SPN,Ore
HAM_8905__HAM__SPS,Ore
HAM_8905__HAM__ST1,Waste Fresh
HAM_8905__HAM__ST2,Waste Fresh
HAM_8905__HAM__ST3,Waste Fresh
HAM_8905__HAM__ST4,Waste Fresh
HAM_8905__HAM__ST5,Waste Fresh
HAM_8905__HAM__ST6,Waste Fresh
HAM_8905__HAM__ST7,Waste Fresh
HAM_8905__HAM__ST8,Waste Fresh
HAM_8905__HAM__STR,Waste Fresh
HAM_8905__HAM__SUB,Waste
HAM_8905__HAM_60S,Ore
HAM_8908_EUR_DEC,Waste
HAM_8930__HAM__32S,Ore
HAM_8930__HAM__35S,Ore
HAM_8930__HAM__39S,Ore
HAM_8930__HAM__43S,Ore
HAM_8930__HAM__50S,Ore
HAM_8930__HAM__56S,Ore
HAM_8930__HAM__59S,Ore
HAM_8930__HAM__61S,Ore
HAM_8930__HAM__63S,Ore
HAM_8930__HAM__C01,Waste
HAM_8930__HAM__C02,Waste
HAM_8930__HAM__C03,Waste
HAM_8930__HAM__C04,Waste
HAM_8930__HAM__C05,Waste
HAM_8930__HAM__C06,Waste
HAM_8930__HAM__EWD,Waste
HAM_8930_HAM_AC0,Waste
HAM_8930_HAM_ACC,Waste
HAM_8930_HAM_DEC,Waste
HAM_8930_HAM_EWA,Waste
HAM_8930_HAM_EWD,Waste
HAM_8930_HAM_ODN,Ore
HAM_8930_HAM_ODS,Ore
HAM_8930_HAM_PFC,Waste
HAM_8930_HAM_RAA,Waste
HAM_8930_HAM_RAD,Waste
HAM_8930_HAM_RAU,Waste
HAM_8930_HAM_SM1,Waste
HAM_8930_HAM_SM2,Waste
HAM_8930_HAM_SMP,Waste
HAM_8930_HAM_SP1,Ore
HAM_8930_HAM_SPA,Ore
HAM_8930_HAM_SPD,Waste
HAM_8930_HAM_SPN,Ore
HAM_8930_HAM_SPS,Ore
HAM_8930_HAM_STR,Waste Fresh
HAM_8930_HAM_WKS,Waste
HAM_8930_TAG_01,Unknown
HAM_8955__HAM__30S,Ore
HAM_8955__HAM__30T,Ore
HAM_8955__HAM__34T,Ore
HAM_8955__HAM__37T,Ore
HAM_8955__HAM__39S,Ore
HAM_8955__HAM__39T,Ore
HAM_8955__HAM__45S,Ore
HAM_8955__HAM__47T,Ore
HAM_8955__HAM__52S,Ore
HAM_8955__HAM__52T,Ore
HAM_8955__HAM__55T,Ore
HAM_8955__HAM__57S,Ore
HAM_8955__HAM__61S,Ore
HAM_8955__HAM__61T,Ore
HAM_8955__HAM__71T,Ore
HAM_8955_HAM_ACC,Waste
HAM_8955_HAM_DB1,Waste Fresh
HAM_8955_HAM_DEC,Waste
HAM_8955_HAM_EWA,Waste
HAM_8955_HAM_EWD,Waste
HAM_8955_HAM_FAA,Waste
HAM_8955_HAM_FAD,Waste
HAM_8955_HAM_FAU,Waste
HAM_8955_HAM_FSC,Waste Fresh
HAM_8955_HAM_JBC,Waste
HAM_8955_HAM_LVC,Waste Fresh
HAM_8955_HAM_ODN,Ore
HAM_8955_HAM_ODS,Ore
HAM_8955_HAM_PMP,Waste
HAM_8955_HAM_SMA,Waste
HAM_8955_HAM_SMP,Waste
HAM_8955_HAM_SPA,Ore
HAM_8955_HAM_SPD,Waste
HAM_8955_HAM_SPN,Ore
HAM_8955_HAM_SPS,Ore
HAM_8980__HAM__53S,Ore
HAM_8980__HAM__SPS,Ore
HAM_8980_HAM_55T,Ore
HAM_8980_HAM_59T,Ore
HAM_8980_HAM_ACC,Waste
HAM_8980_HAM_DEC,Waste
HAM_8980_HAM_EWA,Waste
HAM_8980_HAM_FBW,NULL
HAM_8980_HAM_ODN,Ore
HAM_8980_HAM_ODS,Ore
HAM_8980_HAM_PFC,Waste
HAM_8980_HAM_PMP,Waste
HAM_8980_HAM_RAA,Waste
HAM_8980_HAM_RAD,Waste
HAM_8980_HAM_RAU,Waste
HAM_8980_HAM_SBA,NULL
HAM_8980_HAM_SM2,Waste
HAM_8980_HAM_SM3,Waste
HAM_8980_HAM_SMA,NULL
HAM_8980_HAM_SMP,Waste
HAM_8980_HAM_SPA,Ore
HAM_8980_HAM_SPD,Waste
HAM_9005_HAM_ACC,Waste
HAM_9005_HAM_DEC,Waste
HAM_9005_HAM_EWA,Waste
HAM_9005_HAM_EWD,Waste
HAM_9005_HAM_FAA,Waste
HAM_9005_HAM_FAD,Waste
HAM_9005_HAM_SPD,Waste
HAM_9005_HAM_SUB,Waste
HAM_9020_WBY,No Material
HAM_9030_HAM_SPD,Waste
HAM_9035__HAM__C01,Waste
HAM_9035__HAM__DD5,Waste
HAM_9035__HAM__SM1,Waste
HAM_9035_HAM_DD1,Waste
HAM_9035_HAM_DD2,Waste
HAM_9035_HAM_DD3,Waste
HAM_9035_HAM_DD4,Waste
HAM_9035_HAM_DDN,Waste
HAM_9035_HAM_DDS,Waste
HAM_9035_HAM_EXD,Waste
HAM_9035_HAM_RCC,Waste
HAM_9035_HAM_SMP,Waste
HAM_9035_HAM_SPA,Ore
HAM_9035_HAM_SPN,Ore
HAM_9055__HAM__49S,Ore
HAM_9055__HAM__49T,Ore
HAM_9055__HAM__52S,Ore
HAM_9055__HAM__52T,Ore
HAM_9055__HAM__63S,Ore
HAM_9055__HAM__68S,Ore
HAM_9055__HAM__71T,Ore
HAM_9055__HAM__73S,Ore
HAM_9055__HAM_58S,Ore
HAM_9055_HAM_071,Ore
HAM_9055_HAM_55T,Ore
HAM_9055_HAM_ACC,Waste
HAM_9055_HAM_DEC,Waste
HAM_9055_HAM_EWA,Waste
HAM_9055_HAM_FAA,Waste
HAM_9055_HAM_ODN,Ore
HAM_9055_HAM_ODS,Ore
HAM_9055_HAM_SMP,Waste
HAM_9055_HAM_SPA,Ore
HAM_9055_HAM_SPS,Ore
HAM_9075__HAM__59S,Ore
HAM_9075__HAM__68S,Ore
HAM_9075_HAM_048,Ore
HAM_9075_HAM_052,Ore
HAM_9075_HAM_056,Ore
HAM_9075_HAM_062,Ore
HAM_9075_HAM_066,Ore
HAM_9075_HAM_075,Ore
HAM_9075_HAM_081,Ore
HAM_9075_HAM_56T,Ore
HAM_9075_HAM_66T,Ore
HAM_9075_HAM_81T,Ore
HAM_9075_HAM_ACC,Waste
HAM_9075_HAM_DEC,Waste
HAM_9075_HAM_ODN,Ore
HAM_9075_HAM_ODS,Ore
HAM_9075_HAM_SMP,Waste
HAM_9075_HAM_SPA,Ore
HAM_9075_HAM_SPD,Waste
HAM_9075_HAM_SPN,Ore
HAM_9075_HAM_SPS,Ore
HAM_9095_HAM_048,Ore
HAM_9095_HAM_052,Ore
HAM_9095_HAM_055,Ore
HAM_9095_HAM_063,Ore
HAM_9095_HAM_070,Ore
HAM_9095_HAM_075,Ore
HAM_9095_HAM_080,Ore
HAM_9095_HAM_63S,Ore
HAM_9095_HAM_69s,Ore
HAM_9095_HAM_RAA,Waste
HAM_9095_HAM_RAR,Waste
HAM_9095_HAM_SPA,Ore
HAM_9095_HAM_SPN,Ore
HAM_9095_HAM_SPS,Ore
HAM_9115__HAM__72S,Ore
HAM_9115__OSR__64S,Ore
HAM_9115__OSR__ODS,Ore
HAM_9115__OSR_64T,Ore
HAM_9115__OSR_C01,Waste
HAM_9115_HAM_049,Ore
HAM_9115_HAM_053,Ore
HAM_9115_HAM_057,Ore
HAM_9115_HAM_059,Ore
HAM_9115_HAM_064,Ore
HAM_9115_HAM_070,Ore
HAM_9115_HAM_074,Ore
HAM_9115_HAM_080,Ore
HAM_9115_HAM_084,Ore
HAM_9115_HAM_ACC,Waste
HAM_9115_HAM_DEC,Waste
HAM_9115_HAM_ODN,Ore
HAM_9115_HAM_ODS,Ore
HAM_9115_HAM_SMP,Waste
HAM_9115_HAM_SPA,Ore
HAM_9115_HAM_SPD,Waste
HAM_9115_HAM_SPS,Ore
HAM_9115_OSR_ODS,Ore
HAM_9135_HAM_053,Ore
HAM_9135_HAM_055,Ore
HAM_9135_HAM_058,Ore
HAM_9135_HAM_061,Ore
HAM_9135_HAM_065,Ore
HAM_9135_HAM_066,Ore
HAM_9135_HAM_070,Ore
HAM_9135_HAM_073,Ore
HAM_9135_HAM_075,Ore
HAM_9135_HAM_076,Ore
HAM_9135_HAM_078,Ore
HAM_9135_HAM_65S,Ore
HAM_9135_HAM_ACC,Waste
HAM_9135_HAM_DEC,Waste
HAM_9135_HAM_ODN,Ore
HAM_9135_HAM_ODS,Ore
HAM_9135_HAM_SMP,Waste
HAM_9135_HAM_SPA,Ore
HAM_9135_HAM_SPD,NULL
HAM_9135_HAM_SPN,Ore
HAM_9135_HAM_SPS,Ore
HAM_9155_HAM_051,Ore
HAM_9155_HAM_053,Ore
HAM_9155_HAM_058,Ore
HAM_9155_HAM_062,Ore
HAM_9155_HAM_066,Ore
HAM_9155_HAM_070,Ore
HAM_9155_HAM_077,Ore
HAM_9155_HAM_ACC,Waste
HAM_9155_HAM_DEC,Waste
HAM_9155_HAM_EXD,Waste
HAM_9155_HAM_ODN,Ore
HAM_9155_HAM_ODS,Ore
HAM_9155_HAM_SMP,Waste
HAM_9155_HAM_SPA,Ore
HAM_9155_HAM_SPD,Waste
HAM_9155_HAM_SPS,Ore
HAM_9165_HAM_RAA,Waste
HAM_9165_HAM_RAD,Waste
HAM_9165_HAM_SMP,Waste
HAM_9170_HAM_EWA,Waste
HAM_9170_HAM_SMP,Waste
HAM_9170_HAM_XC,Waste
HAM_9170_HAM_XCT,NULL
HAM_9175_HAM_RAA,Waste
HAM_9175_HAM_SPA,Ore
HAM_9175_HAM_SU2,Waste
HAM_9175_HAM_SUB,Waste
HAM_9305__HAM__RAD,Waste
HAM_DEC_1,Waste
HAM_DUMMY_1,Unknown
HAM_DUMMY_2,Unknown
HAM_DUMMY_3,Unknown
HAM_DUMMY_4,Unknown
HAM_DUMMY_5,Unknown
HAM_MOP_99,Waste Mixture
HAM_MOP_HF_1,High Grade Fresh
HAM_MOP_HF_2,High Grade Fresh
HAM_MOP_HF_3,High Grade Fresh
HAM_MOP_HF_7,High Grade Fresh
HAM_MWD_WF_1,Waste Fresh
HAM_MWD_WF_2,Waste Fresh
HAM_PIT_01,Waste Mixture
HAM_WBY_01,Unknown
HAM-8980_ACC,NULL
HAM-8980_EWA,NULL
HAM-8980_FBW,NULL
HAM-8980_ODN,NULL
HAM-8980_PFC,NULL
HAM-8980_RAA,NULL
HAM-8980_RAD,NULL
HAM-8980_RAU,NULL
HAM-8980_SBA,NULL
HAM-8980_SMA,NULL
HAM-8980_SMP,NULL
HAM-8980_SPD,NULL
HAM-9005_EWA,NULL
HAM-9005_EWD,NULL
HAM-9005_FAA,NULL
HAM-9005_FAD,NULL
HAM-9005_SPD,NULL
HAM-9005_SUB,NULL
HAM-9030_SPD,NULL
HAM-9035_DD1,NULL
HAM-9035_DD2,NULL
HAM-9035_DD3,NULL
HAM-9035_DD4,NULL
HAM-9035_DDN,NULL
HAM-9035_DDS,NULL
HAM-9035_EXD,NULL
HAM-9035_RCC,NULL
HAM-9035_SMP,NULL
HAM-9035_SPA,NULL
HAM-9055_ACC,NULL
HAM-9055_EWA,NULL
HAM-9055_FAA,NULL
HAM-9055_ODN,NULL
HAM-9055_ODS,NULL
HAM-9055_SMP,NULL
HAM-9055_SPA,NULL
HAM-9055_SPS,NULL
HAM-9075_ODN,NULL
HAM-9075_ODS,NULL
HAM-9075_SMP,NULL
HAM-9075_SPA,NULL
HAM-9075_SPD,NULL
HAM-9075_SPN,NULL
HAM-9075_SPS,NULL
HAM-9115_ACC,NULL
HAM-9115_ODN,NULL
HAM-9115_ODS,NULL
HAM-9115_SMP,NULL
HAM-9115_SPA,NULL
HAM-9115_SPD,NULL
HAM-9115_SPS,NULL
HAM-9135_055,NULL
HAM-9135_058,NULL
HAM-9135_061,NULL
HAM-9135_066,NULL
HAM-9135_070,NULL
HAM-9135_073,NULL
HAM-9135_075,NULL
HAM-9135_078,NULL
HAM-9135_ACC,NULL
HAM-9135_ODN,NULL
HAM-9135_ODS,NULL
HAM-9135_SMP,NULL
HAM-9135_SPA,NULL
HAM-9135_SPD,NULL
HAM-9135_SPS,NULL
HAM-9155_051,NULL
HAM-9155_053,NULL
HAM-9155_062,NULL
HAM-9155_066,NULL
HAM-9155_077,NULL
HAM-9155_ACC,NULL
HAM-9155_EXD,NULL
HAM-9155_ODN,NULL
HAM-9155_ODS,NULL
HAM-9155_SMP,NULL
HAM-9155_SPA,NULL
HAM-9155_SPD,NULL
HAM-9155_SPS,NULL
HAM-9165_RAA,NULL
HAM-9165_RAD,NULL
HAM-9165_SMP,NULL
HAM-9170__XC,NULL
HAM-9170_EWA,NULL
HAM-9170_SMP,NULL
HAM-9175_RAA,NULL
HAM-9175_SU2,NULL
HAM-9175_SUB,NULL
HAM-W,Waste
HEA_ARW_WM_2,Waste Mixture
HEA_HLC_PM_1,Poor Grade Mixture
HEA_HLF_HF_1,High Grade Fresh
HEA_HLF_PF_1,Poor Grade Fresh
HEA_HLS_PO_1,Poor Grade Oxide
HEA_HLX_PO_1,Poor Grade Oxide
HEA_SHL_WF_1,Waste Mixture
HLS01,NULL
INT_MOP_LM_1,Low Grade
INT_MOP_PF_1,Poor Grade Fresh
INT_MOP_PF_2,Poor Grade Fresh
ITL1,NULL
ITP1,NULL
ITP2,NULL
LEF_ARW_WM_1,Waste Mixture
LEF_GBY_01,Waste
LEF_INP_HM_1,High Grade Mixture
LEF_LCF_HM_1,High Grade Mixture
LEF_LCF_HM_8,High Grade Mixture
LEF_LCN_HM_1,High Grade Mixture
LEF_LES_HF_1,High Grade Fresh
LEF_LES_HM_1,High Grade Mixture
LEF_LFS_HF_1,High Grade Fresh
LEF_LFS_HF_2,High Grade Fresh
LEF_LFS_HF_5,High Grade Fresh
LEF_LFX_HO_1,High Grade Oxide
LEF_LOF_HF_1,High Grade Fresh
LEF_LSC_HF_1,High Grade Fresh
LEF_LSF_HM_1,High Grade Fresh
LEF_LSF_HO_9,High Grade Oxide
LEF_MIL_HM_1,High Grade Mixture
LEV_110_5240_201,High Grade Fresh
LEV_110_5240_202,Poor Grade Fresh
LEV_110_5240_203,Low Grade Fresh
LEV_110_5240_301,Low Grade Fresh
LEV_110_5240_302,High Grade Fresh
LEV_110_5240_303,Low Grade Fresh
LEV_110_5240_401,Low Grade Fresh
LEV_110_5240_402,High Grade Fresh
LEV_110_5240_403,Low Grade Fresh
LEV_110_5244_111,Poor Grade Fresh
LEV_110_5244_112,Low Grade Fresh
LEV_110_5244_213,Low Grade Fresh
LEV_110_5245_104,Poor Grade Fresh
LEV_110_5245_105,High Grade Fresh
LEV_110_5245_106,Poor Grade Fresh
LEV_110_5245_107,Poor Grade Fresh
LEV_110_5245_108,Poor Grade Fresh
LEV_110_5245_204,Poor Grade Fresh
LEV_110_5245_205,Poor Grade Fresh
LEV_110_5245_206,High Grade Fresh
LEV_110_5245_207,Poor Grade Fresh
LEV_110_5245_208,Poor Grade Fresh
LEV_110_5245_209,Poor Grade Fresh
LEV_110_5245_304,High Grade Fresh
LEV_110_5245_305,Low Grade Fresh
LEV_110_5245_306,Poor Grade Fresh
LEV_110_5245_307,Poor Grade Fresh
LEV_110_5245_404,High Grade Fresh
LEV_110_5245_405,Poor Grade Fresh
LEV_110_5245_406,Poor Grade Fresh
LEV_110_5247_109,High Grade Fresh
LEV_110_5247_210,High Grade Fresh
LEV_110_5247_211,Poor Grade Fresh
LEV_110_5247_212,High Grade Fresh
LEV_110_5247_308,High Grade Fresh
LEV_110_5247_309,Poor Grade Fresh
LEV_110_5247_310,Poor Grade Fresh
LEV_110_5247_407,Low Grade Fresh
LEV_110_5247_408,High Grade Fresh
LEV_110_5250_109,Low Grade Fresh
LEV_110_5250_110,Low Grade Fresh
LEV_110_5250_210,Poor Grade Fresh
LEV_110_5250_211,Poor Grade Fresh
LEV_110_5250_212,Low Grade Fresh
LEV_110_5254_101,High Grade Fresh
LEV_110_5254_102,Low Grade Fresh
LEV_110_5254_103,Low Grade Fresh
LEV_120_5234_100,High Grade Fresh
LEV_120_5234_101,High Grade Fresh
LEV_120_5234_102,High Grade Fresh
LEV_120_5234_103,Low Grade Fresh
LEV_120_5234_104,Low Grade Fresh
LEV_120_5234_105,Poor Grade Fresh
LEV_120_5234_106,High Grade Fresh
LEV_120_5234_200,High Grade Fresh
LEV_120_5234_201,Low Grade Fresh
LEV_120_5234_202,Poor Grade Fresh
LEV_120_5234_203,High Grade Fresh
LEV_120_5234_204,Low Grade Fresh
LEV_120_5234_205,Poor Grade Fresh
LEV_120_5234_206,High Grade Fresh
LEV_120_5234_301,High Grade Fresh
LEV_120_5234_302,Low Grade Fresh
LEV_120_5234_303,Poor Grade Fresh
LEV_120_5234_304,Poor Grade Fresh
LEV_120_5234_401,High Grade Fresh
LEV_120_5234_402,Low Grade Fresh
LEV_120_5234_403,Low Grade Fresh
LEV_120_5234_404,Low Grade Fresh
LEV_120_5234_405,Low Grade Fresh
LEV_120_5237_112,High Grade Fresh
LEV_120_5237_113,Low Grade Fresh
LEV_120_5237_114,High Grade Fresh
LEV_120_5237_115,High Grade Fresh
LEV_120_5237_208,High Grade Fresh
LEV_120_5237_209,Poor Grade Fresh
LEV_120_5237_210,High Grade Fresh
LEV_120_5237_311,High Grade Fresh
LEV_120_5237_312,Low Grade Fresh
LEV_120_5237_313,Low Grade Fresh
LEV_120_5237_314,Low Grade Fresh
LEV_120_5237_413,High Grade Fresh
LEV_120_5237_414,Poor Grade Fresh
LEV_120_5237_415,Low Grade Fresh
LEV_120_5237_416,Poor Grade Fresh
LEV_120_5237_417,High Grade Fresh
LEV_120_5237_418,Low Grade Fresh
LEV_120_5242_107,Poor Grade Fresh
LEV_120_5242_108,Low Grade Fresh
LEV_120_5242_109,Low Grade Fresh
LEV_120_5242_110,High Grade Fresh
LEV_120_5242_111,Low Grade Fresh
LEV_120_5242_204,Poor Grade Fresh
LEV_120_5242_205,Low Grade Fresh
LEV_120_5242_206,High Grade Fresh
LEV_120_5242_207,Low Grade Fresh
LEV_120_5242_305,Poor Grade Fresh
LEV_120_5242_306,Low Grade Fresh
LEV_120_5242_307,High Grade Fresh
LEV_120_5242_308,High Grade Fresh
LEV_120_5242_309,Poor Grade Fresh
LEV_120_5242_310,Low Grade Fresh
LEV_120_5242_406,Poor Grade Fresh
LEV_120_5242_407,Low Grade Fresh
LEV_120_5242_408,Poor Grade Fresh
LEV_120_5242_409,High Grade Fresh
LEV_120_5242_410,Low Grade Fresh
LEV_120_5242_411,High Grade Fresh
LEV_120_5242_412,High Grade Fresh
LEV_130_5228_112,Poor Grade Fresh
LEV_130_5228_113,Low Grade Fresh
LEV_130_5228_114,High Grade Fresh
LEV_130_5228_115,High Grade Fresh
LEV_130_5228_116,High Grade Fresh
LEV_130_5228_117,Low Grade Fresh
LEV_130_5228_118,Poor Grade Fresh
LEV_130_5228_119,Poor Grade Fresh
LEV_130_5228_212,Poor Grade Fresh
LEV_130_5228_213,High Grade Fresh
LEV_130_5228_214,Low Grade Fresh
LEV_130_5228_215,High Grade Fresh
LEV_130_5228_216,Low Grade Fresh
LEV_130_5228_217,High Grade Fresh
LEV_130_5228_218,Poor Grade Fresh
LEV_130_5228_219,Poor Grade Fresh
LEV_130_5228_312,Poor Grade Fresh
LEV_130_5228_313,High Grade Fresh
LEV_130_5228_314,High Grade Fresh
LEV_130_5228_315,Poor Grade Fresh
LEV_130_5228_316,High Grade Fresh
LEV_130_5228_317,High Grade Fresh
LEV_130_5228_318,Poor Grade Fresh
LEV_130_5228_319,Low Grade Fresh
LEV_130_5228_416,Low Grade Fresh
LEV_130_5228_417,High Grade Fresh
LEV_130_5228_418,High Grade Fresh
LEV_130_5228_419,Poor Grade Fresh
LEV_130_5228_420,High Grade Fresh
LEV_130_5228_421,High Grade Fresh
LEV_130_5231_110,High Grade Fresh
LEV_130_5231_211,High Grade Fresh
LEV_130_5231_310,High Grade Fresh
LEV_130_5231_311,Low Grade Fresh
LEV_130_5231_414,High Grade Fresh
LEV_130_5231_415,Low Grade Fresh
LEV_130_5232_123,Poor Grade Fresh
LEV_130_5232_124,High Grade Fresh
LEV_130_5232_125,Poor Grade Fresh
LEV_130_5232_126,Low Grade Fresh
LEV_130_5232_220,Poor Grade Fresh
LEV_130_5232_221,High Grade Fresh
LEV_130_5232_222,Poor Grade Fresh
LEV_130_5232_223,Low Grade Fresh
LEV_130_5232_318,Low Grade Fresh
LEV_130_5232_319,Poor Grade Fresh
LEV_130_5232_320,Poor Grade Fresh
LEV_130_5232_321,High Grade Fresh
LEV_130_5232_322,Low Grade Fresh
LEV_130_5232_418,Low Grade Fresh
LEV_130_5232_419,Poor Grade Fresh
LEV_130_5232_420,Poor Grade Fresh
LEV_130_5232_421,High Grade Fresh
LEV_130_5232_422,Low Grade Fresh
LEV_130_5233_122,Low Grade Fresh
LEV_130_5243_120,High Grade Fresh
LEV_130_5243_121,Poor Grade Fresh
LEV_130_5243_218,High Grade Fresh
LEV_130_5243_219,Poor Grade Fresh
LEV_130_5243_317,Poor Grade Fresh
LEV_140_5198_114,Low Grade Fresh
LEV_140_5198_115,High Grade Fresh
LEV_140_5198_116,Low Grade Fresh
LEV_140_5198_117,High Grade Fresh
LEV_140_5198_118,Low Grade Fresh
LEV_140_5198_200,High Grade Fresh
LEV_140_5198_201,High Grade Fresh
LEV_140_5198_202,Low Grade Fresh
LEV_140_5198_203,Low Grade Fresh
LEV_140_5199_119,High Grade Fresh
LEV_140_5199_204,High Grade Fresh
LEV_140_5199_205,Poor Grade Fresh
LEV_140_5199_301,Low Grade Fresh
LEV_140_5199_302,High Grade Fresh
LEV_140_5199_303,High Grade Fresh
LEV_140_5199_304,Poor Grade Fresh
LEV_140_5199_401,Low Grade Fresh
LEV_140_5199_402,High Grade Fresh
LEV_140_5199_403,Poor Grade Fresh
LEV_140_5200_120,High Grade Fresh
LEV_140_5200_121,Poor Grade Fresh
LEV_140_5200_204,High Grade Fresh
LEV_140_5200_205,Poor Grade Fresh
LEV_140_5200_301,Low Grade Fresh
LEV_140_5200_302,High Grade Fresh
LEV_140_5200_303,High Grade Fresh
LEV_140_5200_304,Poor Grade Fresh
LEV_140_5200_401,Low Grade Fresh
LEV_140_5200_402,High Grade Fresh
LEV_140_5200_403,Poor Grade Fresh
LEV_140_5201_204,High Grade Fresh
LEV_140_5201_205,Poor Grade Fresh
LEV_140_5201_301,Low Grade Fresh
LEV_140_5201_302,High Grade Fresh
LEV_140_5201_303,High Grade Fresh
LEV_140_5201_304,Poor Grade Fresh
LEV_140_5201_401,Low Grade Fresh
LEV_140_5201_402,High Grade Fresh
LEV_140_5201_403,Poor Grade Fresh
LEV_140_5207_338,High Grade Fresh
LEV_140_5219_164,High Grade Fresh
LEV_140_5219_168,High Grade Fresh
LEV_150_5172_148,High Grade Fresh
LEV_150_5172_149,Low Grade Fresh
LEV_150_5172_150,High Grade Fresh
LEV_150_5172_151,Poor Grade Fresh
LEV_150_5172_250,Low Grade Fresh
LEV_150_5172_251,High Grade Fresh
LEV_150_5172_252,Low Grade Fresh
LEV_150_5172_253,High Grade Fresh
LEV_150_5172_254,Low Grade Fresh
LEV_150_5172_255,High Grade Fresh
LEV_150_5172_256,Low Grade Fresh
LEV_150_5172_339,Low Grade Fresh
LEV_150_5172_341,High Grade Fresh
LEV_150_5172_342,High Grade Fresh
LEV_150_5172_343,Poor Grade Fresh
LEV_150_5172_345,High Grade Fresh
LEV_150_5172_346,Poor Grade Fresh
LEV_150_5172_454,Low Grade Fresh
LEV_150_5172_455,High Grade Fresh
LEV_150_5172_456,Low Grade Fresh
LEV_150_5172_458,High Grade Fresh
LEV_150_5172_459,Poor Grade Fresh
LEV_150_5172_460,Poor Grade Fresh
LEV_150_5174_152,High Grade Fresh
LEV_150_5174_153,High Grade Fresh
LEV_150_5174_154,Low Grade Fresh
LEV_150_5174_155,Low Grade Fresh
LEV_150_5174_158,High Grade Fresh
LEV_150_5174_257,High Grade Fresh
LEV_150_5174_258,High Grade Fresh
LEV_150_5174_259,Low Grade Fresh
LEV_150_5174_348,High Grade Fresh
LEV_150_5174_349,High Grade Fresh
LEV_150_5174_350,Low Grade Fresh
LEV_150_5174_351,Low Grade Fresh
LEV_150_5174_463,High Grade Fresh
LEV_150_5174_464,High Grade Fresh
LEV_150_5174_465,Poor Grade Fresh
LEV_150_5174_466,Low Grade Fresh
LEV_150_5176_137,Poor Grade Fresh
LEV_150_5176_138,Low Grade Fresh
LEV_150_5176_237,Poor Grade Fresh
LEV_150_5176_238,Low Grade Fresh
