Source_Code,Source_Material
ARG_N36_A01_02N,Ore
ARG_N36_A01_07S,Ore
ARG_N36_A01_DEC,Waste
ARG_N36_A01_ODN,Ore
ARG_N36_A01_ODS,Ore
ARG_N36_A01_SPA,Ore
ARG_N36_A01_SPN,Ore
ARG_N37___A01__09S,Ore
ARG_N37___A01__SPA,Ore
ARG_N37___A01__SPD,Waste
ARG_N37___L09__04S,Ore
ARG_N37___L09__05S,Ore
ARG_N37___L09__BKF,Waste
ARG_N37___L09__SP2,Ore
ARG_N37_A01_006,Ore
ARG_N37_A01_04N,Ore
ARG_N37_A01_04S,Ore
ARG_N37_A01_05S,Ore
ARG_N37_A01_06N,Ore
ARG_N37_A01_06S,Ore
ARG_N37_A01_06T,Ore
ARG_N37_A01_07S,Ore
ARG_N37_A01_08S,Ore
ARG_N37_A01_09S,Ore
ARG_N37_A01_DEC,Waste
ARG_N37_A01_ODN,Ore
ARG_N37_A01_ODS,Ore
ARG_N37_A01_SPN,Ore
ARG_N37_L09_01,Ore
ARG_N37_L09_02,Ore
ARG_N38________DDC,Waste
ARG_N38___A01__08S,Ore
ARG_N38___A01__DDC,Waste
ARG_N38___A01__EWA,Waste
ARG_N38___A01__SPS,Ore
ARG_N38_A01_01N,Ore
ARG_N38_A01_01S,Ore
ARG_N38_A01_02N,Ore
ARG_N38_A01_03S,Ore
ARG_N38_A01_DEC,Waste
ARG_N38_A01_EXD,Waste
ARG_N38_A01_ODN,Ore
ARG_N38_A01_ODS,Ore
ARG_N38B_A01_01N,Ore
ARG_N38B_A01_04N,Ore
ARG_N38B_A01_05N,Ore
ARG_N38B_A01_06N,Ore
ARG_N38B_A01_ODN,Ore
ARG_N38B_A01_SPA,Ore
ARG_N39___A01__01N,Ore
ARG_N39___A01__01S,Ore
ARG_N39___A01__02S,Ore
ARG_N39___A01__06S,Ore
ARG_N39___A01__07S,Ore
ARG_N39___A01__ACC,Waste
ARG_N39___A01__DEC,Waste
ARG_N39___A01__EWA,Waste
ARG_N39___A01__ODN,Ore
ARG_N39___A01__ODS,Ore
ARG_N39___A01__SMP,Waste
ARG_N39___A01__SPA,Ore
ARG_N39___A01__SPD,Waste
ARG_N39___A01__SPS,Ore
ARG_N39___A75__ACC,Waste
ARG_N39___A75__ODN,Ore
ARG_N4____A01__ACC,Waste
ARG_N4____A01__SPA,Ore
ARG_N5____A01__ACC,Waste
ARG_N5____A01__SPA,Ore
ARG_N6____A01__SPA,Ore
ARG_N7____A01__SPA,Ore
ARG_N8____A01__01S,Ore
ARG_N8____A01__06N,Ore
ARG_N8____A01__06S,Ore
ARG_N8____A01__ODN,Ore
ARG_N8____A01__SP1,Ore
ARG_N8____A01__SP2,Ore
ARG_N8____A01__SPA,Ore
ARG_N8____A01__SPD,Waste
ARG_N9_________SPA,Ore
ARG_N9____A01__SPA,Ore
ARG_NDEC__SP03_SPD,Waste
ARG_NDEC__SP15_SPD,Waste
ARG_NDEC__SP18_SPD,Waste
ARG_NDEC__SP20_SPD,Waste
ARG_NDEC__SP22_SPD,Waste
ARG_NDEC__SP23_SPD,Ore
ARG_NDEC__SP26_SPD,Waste
ARG_NDEC__SP36_SPD,Waste
ARG_NDEC__XXXX_SPD,Waste
ARG_NGB_1,No Material
ARG_PIT_01,No Material
ARG_PPL_1,Paste
ARG_S1____A____ACC,Waste
ARG_S1____A____BKF,Waste
ARG_S1____A____FWD,Waste
ARG_S1____A____HWD,Waste
ARG_S1____A____SPA,Ore
ARG_S1____A01__DEC,Waste
ARG_S1____H01__ACC,Waste
ARG_S2_________FWD,Waste
ARG_S2_________SP1,Ore
ARG_S2_________SPA,Ore
ARG_S2____A01__01S,Ore
ARG_S2____A01__02S,Ore
ARG_S2____A01__03S,Ore
ARG_S2____A01__03T,Ore
ARG_S2____A01__04S,Ore
ARG_S2____A01__04T,Ore
ARG_S2____A01__06S,Ore
ARG_S2____A01__06T,Ore
ARG_S2____A01__ODS,Ore
ARG_S2____A01__SPD,Waste
ARG_S3____A01__01S,Ore
ARG_S3____A01__02S,Ore
ARG_S3____A01__SPA,Ore
ARG_S3____H01__01S,Ore
ARG_S3____H04__01S,Ore
ARG_S5____H01__SPD,Waste
ARG_S6_________ACC,Waste
ARG_S6____H01__01S,Ore
ARG_S6____H01__ACC,Waste
ARG_S6____H01__ODN,Ore
ARG_S6____H01__ODS,Ore
ARG_S7_________ACC,Waste
ARG_S7____A01__01S,Ore
ARG_S7____A01__STR,Waste Fresh
ARG_S7____F4__ODN,Ore
ARG_S7____F4__ODS,Ore
ARG_S7____S4__ODN,Ore
ARG_S7____S4__ODS,Ore
ARG_S7____S4__SPA,Ore
ARG_SDEC__SP07_SPD,Waste
ARG_SDEC__SP08_SPD,Waste
ARG_WBY_01,No Material
ARG_WKS_1,No Material
ARG-1234-123-1200001,High Grade
ARG-1234-123-1200002,High Grade
ARG-1234-123-1200005,High Grade
ARG-1417-EXT-SP11111,NULL
ARG-16 B2SP,NULL
ARG-16B2SP,NULL
ARG-17B2 SP,NULL
ARG-8888-888-8888888,High Grade Fresh
ARG-9999-999-9999999,NULL
ARG-AUG1,Ore
ARG-AUG2,Ore
ARG-AUG3,Ore
ARG-AUG4,Ore
ARG-AUG5,Ore
ARG-Lay Down,NULL
ARG-MB2 SP2,NULL
ARG-N13 13 B 105,NULL
ARG-N13 13 B1 02,NULL
ARG-N13 13 B104,NULL
ARG-N13 13B1 03,NULL
ARG-N13 13B1 RISE,NULL
ARG-N13 13B2 RISE,NULL
ARG-N13 B1 SP,NULL
ARG-N13 B104,NULL
ARG-N13 B105,NULL
ARG-N13 B1A OD,NULL
ARG-N13 B1B OD,NULL
ARG-N13 OP,NULL
ARG-N13 SP1,NULL
ARG-N14 13 B101,NULL
ARG-N14 14,NULL
ARG-N14 14 B1 03,NULL
ARG-N14 14 B101 RISE,NULL
ARG-N14 14 B103 RISE,NULL
ARG-N14 14 B104 RISE,NULL
ARG-N14 14 RISE,NULL
ARG-N14 14B1 ODW,NULL
ARG-N14 14B2S SP,NULL
ARG-N14 14INT SP,NULL
ARG-N14 16 C101,NULL
ARG-N14 16 C102,NULL
ARG-N14 16 C103,NULL
ARG-N14 16 C104,NULL
ARG-N14 16 C105,NULL
ARG-N14 16C1 ACC,NULL
ARG-N14 16C1 SP,NULL
ARG-N14 17 C1,NULL
ARG-N14 17 C1 ACC,NULL
ARG-N14 17 C1 ODN,NULL
ARG-N14 21B2 SP,NULL
ARG-N14 22B2 SP,NULL
ARG-N14 22B2 SUB,NULL
ARG-N14 23 B204,NULL
ARG-N14 23B2 SP,NULL
ARG-N14 23B202,NULL
ARG-N14 23B203,NULL
ARG-N14 L Bay sp,NULL
ARG-N1413 A1,NULL
ARG-N1413 B2 SP,Ore
ARG-N1414 B1 01,NULL
ARG-N1414 B1 02,NULL
ARG-N1414 B1 04,NULL
ARG-N1414 B1 05,Ore
ARG-N1414 UB2 SP,Ore
ARG-N1414B1 SP,NULL
ARG-N1416 C1 OD,NULL
ARG-N1416 C1 SP,Ore
ARG-N1416 C103,NULL
ARG-N1416 C104,NULL
ARG-N1416-C105,NULL
ARG-N1417 B2 SP,NULL
ARG-N1417 C1 OD,Ore
ARG-N1417 C1 ODN,NULL
ARG-N1417 C1 SP,NULL
ARG-N1417 C101N,Ore
ARG-N1417 C101S,Ore
ARG-N1417 SP,NULL
ARG-N1417C3OD,NULL
ARG-N16 HI SP,NULL
ARG-N16 SP,NULL
ARG-N18 H1 05,NULL
ARG-N18 H1 SP,NULL
ARG-N18 H102,NULL
ARG-N18 SP,NULL
ARG-N29 24B1 ACC,NULL
ARG-N29 SP,NULL
ARG-N30 ACC,NULL
ARG-N30 B1 ACC,NULL
ARG-N30 B1 ODE,NULL
ARG-N30 B1 ODW,NULL
ARG-N30 B1 Strip,NULL
ARG-N30 B101,NULL
ARG-N30 B101 B,NULL
ARG-N30 B102,NULL
ARG-N30 INT SP,NULL
ARG-N30 SP,NULL
ARG-N31 ACC,NULL
ARG-N31 SP,NULL
ARG-N34 27A 7501 PW,NULL
ARG-N34 27A1 09,NULL
ARG-N34 27A1 SP,NULL
ARG-N34 27A102 PW,NULL
ARG-N34 A1 10,NULL
ARG-N34 A108,NULL
ARG-N34 A7504,NULL
ARG-N35 28A1 SP,NULL
ARG-N35 28A1 SP INT,NULL
ARG-N35 28A1S EXP,NULL
ARG-N35 A103,NULL
ARG-N35 A105,NULL
ARG-N35 A106,NULL
ARG-N35 A74 04,NULL
ARG-N35 A75 03,NULL
ARG-N35 A75 04,NULL
ARG-N35 A7502,NULL
ARG-N35 PASTE WALL,NULL
ARG-N35SP,NULL
ARG-N36 A 105,NULL
ARG-N36 A1 01N,NULL
ARG-N36 A1 ODN,NULL
ARG-N36 A1 ODN SP,NULL
ARG-N36 A1 ODS SP,NULL
ARG-N36 A101S,NULL
ARG-N36 A103,NULL
ARG-N36 A104,NULL
ARG-N36 A105 SLOT,NULL
ARG-N36 A106 S,Ore
ARG-N36 A106 SLOT,Ore
ARG-N36 A107 S,Ore
ARG-N36 A75 ODS,NULL
ARG-N36 A7501,NULL
ARG-N36 A7502,NULL
ARG-N36 ACC SP,NULL
ARG-N36 L9 SP,NULL
ARG-N36 SP,Ore
ARG-N36 SPN,NULL
ARG-N37 30A1 ODS,NULL
ARG-N37 A 105 SLOT,NULL
ARG-N37 A01 ODN,NULL
ARG-N37 A1 ODN B,NULL
ARG-N37 A1 SLOT,NULL
ARG-N37 A101,NULL
ARG-N37 A101N,NULL
ARG-N37 A102 S,NULL
ARG-N37 A102 SLOT,NULL
ARG-N37 A102N,NULL
ARG-N37 A103 N,Ore
ARG-N37 A103 S,Ore
ARG-N37 A103 SLOT,NULL
ARG-N37 A104 S,Ore
ARG-N37 A104 SLOT,NULL
ARG-N37 A104N,NULL
ARG-N37 A105 SLOT,NULL
ARG-N37 A105S,NULL
ARG-N37 A106 SLOT,NULL
ARG-N37 A1N BROWS,NULL
ARG-N37 A1ODS,NULL
ARG-N37 A75 ODS,NULL
ARG-N37 A7504,NULL
ARG-N37 ACC SP,NULL
ARG-N37 JC,NULL
ARG-N37 L9 ODSB,NULL
ARG-N37 L9 SP,Ore
ARG-N37 SPN,Ore
ARG-N37A102S,High Grade
ARG-N38 A01 ODN,NULL
ARG-N38 A1 ODN B,NULL
ARG-N38 A1 ODS,NULL
ARG-N38 A1 SPN,NULL
ARG-N38 A101 N,Ore
ARG-N38 A101 N SLOT,NULL
ARG-N38 A101 S,Ore
ARG-N38 A101 SLOT,NULL
ARG-N38 A102 N,NULL
ARG-N38 A102 S SLOT,NULL
ARG-N38 A106 Slot,NULL
ARG-N38 A1B SP,NULL
ARG-N38 A1S OD,NULL
ARG-N38 DDD,NULL
ARG-N38 SMP 2,NULL
ARG-N38.5 A102N,NULL
ARG-N38B A1 BROW,NULL
ARG-N38B A1 ODN,NULL
ARG-N38B A101 N,Ore
ARG-N38B A102 N,Ore
ARG-N38B A103 N,Ore
ARG-N38B SP,NULL
ARG-N38SP,Ore
